"Reference","Value","Qty","Supply name","Supply URL","Supply name "
"BT1","Battery_CR1220","1","Thegioiic","https://www.thegioiic.com/de-pin-cr1220-dan-smd",""
"C1,C13","4.7uF/25V","2","Thegioiic","https://www.thegioiic.com/tu-gom-0603-4-7uf-25v",""
"C2,C5,C6,C9,C10,C11,C12,C14,C15,C18,C19,C20,C21,C23,C24,C26,C29,C31,C36,C38,C41,C45,C47,C49,C53,C58,C59,C62,C63,C65,C67,C68,C69,C72,C82,C98,C99,C100","100nF/16V","38","Thegioiic","https://www.thegioiic.com/tu-gom-0603-100nf-0-1uf-16v",""
"C3,C4,C73,C75,C81,C83,C87,C89","1uF/16V","8","Thegioiic","-- mixed values --",""
"C7,C8,C27,C34,C43,C54,C55","1nF/50V","7","Thegioiic","https://www.thegioiic.com/tu-gom-0603-1nf-50v",""
"C16,C17","20pF/50V","2","Thegioiic","https://www.thegioiic.com/tu-gom-0603-20pf-50v",""
"C22","22uF/10V","1","Thegioiic","https://www.thegioiic.com/tu-gom-0603-22uf-10v",""
"C25,C28,C30,C35,C37,C39,C44,C46,C48,C52,C56,C57,C60,C61,C64,C66,C71,C76,C79,C84,C85,C90,C91,C96,C97,C101","10uF/16V","26","Thegioiic","-- mixed values --",""
"C32,C33,C40,C42","2.2nF/50V","4","Thegioiic","https://www.thegioiic.com/tu-gom-0603-2-2nf-50v",""
"C50,C51","100uF/16V","2","Thegioiic","https://www.thegioiic.com/tu-nhom-smd-100uf-16v-6-3x5-4mm",""
"C70","4.7uF/50V","1","Thegioiic","https://www.thegioiic.com/tu-gom-0805-4-7uf-50v",""
"C74","100nF 275V","1","Thegioiic","https://www.thegioiic.com/tu-keo-vang-x2-100nf-0-1uf-104k-275vac",""
"C77","4.7nF/50V","1","Thegioiic","https://www.thegioiic.com/tu-gom-0603-4-7nf-50v",""
"C78","39pF/50V","1","Thegioiic","https://www.thegioiic.com/tu-gom-0603-39pf-50v",""
"C80","10nF/50V","1","Thegioiic","https://www.thegioiic.com/tu-gom-0603-10nf-50v",""
